round,stage_order,cat1_max_usd,cat4_min_usd,promised_2018_usd,increase_pct_cat1_vs_promise,notes,source
Group Stage - Neutral,1,620,60,,,Non-host nation games,Sports Illustrated / WorldCupWiki Nov 2025
Group Stage - Host Nations,2,2735,75,,,USA SoFi Stadium max,Sports Illustrated / WorldCupWiki Nov 2025
Round of 32,3,750,105,,,New round introduced in 2026,Sports Illustrated Nov 2025
Round of 16,4,980,170,,,,WorldCupPass / SI Nov 2025
Quarterfinal,5,1775,275,,,,WorldCupPass / SI Nov 2025
Semifinal,6,3295,420,,,Dallas SF tops at $11130 Front Cat1,WorldCupWiki / SI Nov 2025
Third Place Match,7,1070,165,,,Miami July 18,WorldCupWiki Nov 2025
Final - 2018 Bid Promise,8,1550,,1550,0,Maximum stated in bid document,The Conversation / Newsweek
Final - Phase 1 Sale,8,6730,2030,1550,334,Initial official sale price,Malaymail / SI Sep 2025
Final - After May 8 2026 Triple,8,32970,2030,1550,2027,FIFA tripled top price May 8 2026,WorldCupWiki / Front Office Sports Jun 2026
Final - Cheapest Available Apr 2026,8,5785,5785,1550,273,Cheapest standard seat at time of carousel,The Conversation / Newsweek Apr 2026
